,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
404,dgha-ldhan guest house,leh,9.4,superb,2×double room with private bathroom2 extra-large double bedsfree cancellationno prepayment needed– pay at the property,53000.0,6360.0,leh,10,0,59360.0,recommended for friends trip
405,rainbow hostelier,leh,8.8,fabulous,7×bed in 8-bed mixed dormitory room7 beds in dormitories7 bunk bedsfree cancellationno prepayment needed– pay at the property,22680.0,2722.0,leh,7,0,25402.0,recommended for friends trip
406,lehostel,leh,8.3,very good,7×bed in 6-bed mixed dormitory room7 beds in dormitories7 bunk beds,16720.0,2006.0,leh,7,0,18726.0,recommended for friends trip
407,nilza guest house,leh,9.2,superb,"1×triple room with balcony2 beds (1 single, 1 double)free cancellationno prepayment needed– pay at the property",28182.0,3382.0,leh,7,0,31564.0,recommended for friends trip
408,raybo hostel,leh,9.2,superb,1×bed in 6-bed mixed dormitory roombed in dormitory,22750.0,2730.0,leh,7,0,25480.0,recommended for friends trip
409,laksdup guest house,leh,7.8,good,4×deluxe room4 double bedsfree cancellation,34000.0,4080.0,leh,7,0,38080.0,recommended for friends trip
410,apricus hotel,leh,9.4,superb,4×double room with mountain view8 large double bedsfree cancellationno prepayment needed– pay at the property,36000.0,4320.0,leh,7,0,40320.0,recommended for friends trip
411,hotel el castello,leh,8.5,very good,4×deluxe double room4 double bedsfree cancellationno prepayment needed– pay at the property,50000.0,6000.0,leh,7,0,56000.0,recommended for friends trip
412,oogpa house - boutique homestay,leh,8.2,exceptional,4×superior double or twin room with mountain view4 double bedsfree cancellationno prepayment needed– pay at the property,52796.0,6336.0,leh,7,0,59132.0,recommended for friends trip
413,heschuk guest house,leh,9.4,superb,1×double room with mountain view1 large double bedfree cancellationno prepayment needed– pay at the property,31700.0,3804.0,leh,7,0,35504.0,recommended for friends trip
414,the willow house,leh,9.2,superb,4×deluxe double room4 large double bedsfree cancellationno prepayment needed– pay at the property,52000.0,6240.0,leh,7,0,58240.0,recommended for friends trip
415,mandarava homestay,leh,9.1,superb,1×single room with private bathroom1 single bedfree cancellation,36000.0,4320.0,leh,7,0,40320.0,recommended for friends trip
416,tsaskan hotel,leh,8.3,very good,4×deluxe double room4 double bedsfree cancellationno prepayment needed– pay at the property,30000.0,3600.0,leh,7,0,33600.0,recommended for friends trip
417,hotel skittsal leh,leh,8.3,very good,1×deluxe double room1 extra-large double bed,22500.0,2700.0,leh,7,0,25200.0,recommended for friends trip
418,karma lodge leh,leh,8.7,fabulous,1×deluxe double room1 extra-large double bedfree cancellation,33438.0,3648.0,leh,7,0,37086.0,recommended for friends trip
419,neryok's indus view,chimre,7.8,good,2×chalet2 entire chalets,36366.0,4364.0,chimre,7,0,40730.0,recommended for friends trip
420,hidden leaf homestay,leh,9.5,exceptional,1×family double room1 double bedfree cancellationno prepayment needed– pay at the property,60325.0,9399.0,leh,7,0,69724.0,recommended for friends trip
421,sangto green guest house,leh,9.1,superb,4×double room with mountain view4 extra-large double bedsfree cancellation,42120.0,5054.0,leh,7,0,47174.0,recommended for friends trip
